Index;Navn;Moh;Pf;Kartblad M711;Koordinater UTM 32V;Koordinater grad, min, sek
[1] ;Galdhøpiggen ;2469;2370;1518 II «Galdhøpiggen» ;463550 6833850 ;61°38′11″N 08°18′45″Ø
[2] ;Glittertinden ;2460;990;1618 III «Glittertinden» ;476550 6835400 ;61°39′04″N 08°33′28″Ø
[3] ;Skagastølstind, Store ;2405;1015;1517 IV «Hurrungane» ;439850 6814700 ;61°27′41″N 07°52′19″Ø
[4] ;Styggedalstind ØT, Store ;2387;155;1517 IV «Hurrungane» ;441450 6815000 ;61°27′52″N 07°54′08″Ø
[5] ;Skardstinden ;2373;280;1518 II «Galdhøpiggen» ;461100 6833550 ;61°38′00″N 08°15′55″Ø
[6] ;Veslepiggen ;2369;150;1518 II «Galdhøpiggen» ;463250 6834350 ;61°38′27″N 08°18′23″Ø
[7] ;Surtningssui, Store ;2368;710;1618 III «Glittertinden» ;477250 6822350 ;61°32′03″N 08°34′21″Ø
[8] ;Memurutinden ØT, Store ;2364;334;1618 III «Glittertinden» ;472800 6826100 ;61°34′03″N 08°29′17″Ø
[9] ;Gjertvasstinden ;2351;120;1517 IV «Hurrungane» ;441900 6815000 ;61°27′53″N 07°54′40″Ø
[10] ;Sentraltinden ;2348;115;1517 IV «Hurrungane» ;440450 6814950 ;61°27′49″N 07°52′57″Ø
[11] ;Hellstugutinden, Store ;2345;450;1518 II «Galdhøpiggen» ;469600 6823550 ;61°32′40″N 08°25′40″Ø
[12] ;Storjuvtinden ;2344;110;1518 II «Galdhøpiggen» ;462550 6833200 ;61°37′49″N 08°17′37″Ø
[13] ;Knutsholstinden, Store ;2341;960;1617 IV «Gjende» ;476650 6810150 ;61°25′27″N 08°33′44″Ø
[14] ;Vetle Skagastølstinden ;2340;70;1517 IV «Hurrungane» ;439995 6815045 ;61°27′52″N 07°52′27″Ø
[15] ;Hellstugutinden, Midtre ;2340;158;1518 II «Galdhøpiggen» ;469400 6824350 ;61°33′06″N 08°25′28″Ø
[16] ;Tjønnholstinden ;2331;340;1617 IV «Gjende» ;481150 6812400 ;61°26′41″N 08°38′46″Ø
[17] ;Leirhøe ;2330;290;1518 II «Galdhøpiggen» ;471700 6828750 ;61°35′28″N 08°28′01″Ø
[18] ;Bukkehøe ;2314;350;1518 II «Galdhøpiggen» ;461050 6830300 ;61°36′15″N 08°15′57″Ø
[19] ;Store Tverråtinden ;2309;180;1518 II «Galdhøpiggen» ;462950 6831500 ;61°36′55″N 08°18′07″Ø
[20] ;Ymelstinden ;2304;40;1518 II «Galdhøpiggen» ;462250 6832900 ;61°37′39″N 08°17′17″Ø
[21] ;Tverråtinden, Midtre ;2302;95;1518 II «Galdhøpiggen» ;463700 6831400 ;61°36′52″N 08°18′56″Ø
[22] ;Sørtoppen (Surtningssui)[2] ;2302;30;1618 III «Glittertinden» ;477700 6821650 ;61°31′39″N 08°34′53″Ø
[23] ;Austre Memurutinden, Ø-1 ;2301;170;1618 III «Glittertinden» ;473850 6825900 ;61°33′56″N 08°30′27″Ø
[24] ;Trollsteineggi ;2300;90;1618 III «Glittertinden» ;476600 6836400 ;61°39′37″N 08°33′31″Ø
[25] ;Austre Leirungstinden ;2288;270;1617 IV «Gjende» ;478700 6809850 ;61°25′18″N 08°36′03″Ø
[26] ;Snøhetta, Stortoppen ;2286;1675;1519 IV «Snøhetta» ;513900 6909850 ;62°19′12″N 09°16′06″Ø
[27] ;Skagastølstind, Midtre ;2284;30;1517 IV «Hurrungane» ;439700 6815450 ;61°28′05″N 07°52′08″Ø
[28] ;Galdhøe ;2283;95;1518 II «Galdhøpiggen» ;463900 6835350 ;61°38′59″N 08°19′07″Ø
[29] ;Vestre Memurutindan, V-1 ;2280;70;1518 II «Galdhøpiggen» ;471500 6825050 ;61°33′29″N 08°27′50″Ø
[30] ;Snøhetta, Midttoppen ;2278;35;1519 IV «Snøhetta» ;513050 6909700 ;62°19′11″N 09°15′18″Ø
[31] ;Søre Veotinden ;2267;135;1618 III «Glittertinden» ;475150 6826600 ;61°34′19″N 08°31′58″Ø
[32] ;Mesmogtinden ;2264;770;1617 IV «Gjende» ;475100 6807850 ;61°24′14″N 08°32′03″Ø
[33] ;Snøhetta, Hettpiggen ;2261;50;1519 IV «Snøhetta» ;513000 6909450 ;62°19′00″N 09°15′03″Ø
[34] ;Glittertindoksle, Ø ;2260;40;1618 III «Glittertinden» ;477450 6836100 ;61°39′26″N 08°34′28″Ø
[35] ;Storgrovhøe ;2259;180;1518 II «Galdhøpiggen» ;461150 6834650 ;61°38′37″N 08°16′01″Ø
[36] ;Besshøe ;2258;850;1618 III «Glittertinden» ;483350 6820500 ;61°31′05″N 08°41′17″Ø
[37] ;Nautgardstinden ;2258;573;1618 III «Glittertinden» ;487250 6830000 ;61°36′11″N 08°45′35″Ø
[38] ;Hellstugutinden, S-1 ;2255;114;1518 II «Galdhøpiggen» ;469700 6822900 ;61°32′18″N 08°25′48″Ø
[39] ;Storgrovhøi, Fremste ;2253;60;1518 II «Galdhøpiggen» ;461750 6835400 ;61°39′00″N 08°16′39″Ø
[40] ;Snøhetta, Vesttoppen ;2253;70;1519 IV «Snøhetta» ;512950 6909400 ;62°18′54″N 09°14′58″Ø
[41] ;Skarvflyløyfttinden ;2250;35;1617 IV «Gjende» ;479300 6810650 ;61°25′45″N 08°36′43″Ø
[42] ;Leirungstinden, V ;2250;200;1617 IV «Gjende» ;477700 6809200 ;61°24′58″N 08°34′55″Ø
[43] ;Vestre Memurutindan, V-3 ;2243;80;1518 II «Galdhøpiggen» ;471400 6824350 ;61°33′06″N 08°27′45″Ø
[44] ;Store Veotinden ;2240;72;1618 III «Glittertinden» ;475100 6827050 ;61°34′34″N 08°31′54″Ø
[45] ;Semeltinden ;2236;450;1518 II «Galdhøpiggen» ;468400 6820100 ;61°30′48″N 08°24′24″Ø
[46] ;Visbretinden ;2234;560;1518 II «Galdhøpiggen» ;464650 6822050 ;61°31′48″N 08°20′07″Ø
[47] ;Søraustre Styggehøbreatinden ;2232;95;1618 III «Glittertinden» ;476400 6826100 ;61°34′04″N 08°33′20″Ø
[48] ;Vestre Memurutindan, V-4 ;2230;80;1618 III «Glittertinden» ;472100 6823750 ;61°32′46″N 08°28′33″Ø
[49] ;Storgrovtinden ;2229;34;1518 II «Galdhøpiggen» ;461150 6834450 ;61°38′29″N 08°15′59″Ø
[50] ;Høgdebrotet ;2226;80;1617 IV «Gjende» ;482350 6813300 ;61°27′10″N 08°40′10″Ø
[51] ;Kjelhøe ;2223;30;1518 II «Galdhøpiggen» ;464850 6837250 ;61°40′01″N 08°20′10″Ø
[52] ;Storebjørn ;2222;800;1518 II «Galdhøpiggen» ;454150 6824150 ;61°32′53″N 08°08′14″Ø
[53] ;Sørvestre Styggehøbreatinden ;2220;30;1618 III «Glittertinden» ;476100 6825900 ;61°33′57″N 08°33′00″Ø
[54] ;Hellstugutinden, N-3 ;2218;90;1518 II «Galdhøpiggen» ;469200 6825500 ;61°33′43″N 08°25′15″Ø
[55] ;Styggehøe ;2213;230;1518 II «Galdhøpiggen» ;464800 6828800 ;61°35′28″N 08°20′12″Ø
[56] ;Bukkeholstinden, Store ;2213;160;1518 II «Galdhøpiggen» ;463250 6827500 ;61°34′45″N 08°18′27″Ø
[57] ;Skarvflytinden, Søre ;2210;60;1617 IV «Gjende» ;479200 6811100 ;61°25′59″N 08°36′35″Ø
[58] ;Storstyggesvånåtinden ;2209;540;1419 I «Storskrymten» ;509750 6905850 ;62°17′03″N 09°11′16″Ø
[59] ;Smørstabbtinden, Store ;2208;200;1518 II «Galdhøpiggen» ;453200 6826800 ;61°34′19″N 08°07′08″Ø
[60] ;Kalvehøgdi, V-2 ;2208;530;1617 IV «Gjende» ;479750 6806600 ;61°23′34″N 08°37′15″Ø
[61] ;Langedalstinden ;2206;100;1617 IV «Gjende» ;474550 6807500 ;61°24′02″N 08°31′24″Ø
[62] ;Knutsholstinden, Vesle ;2205;75;1617 IV «Gjende» ;477350 6809400 ;61°25′04″N 08°34′32″Ø
[63] ;Austanbottstind, Store ;2203;475;1517 IV «Hurrungane» ;435750 6811500 ;61°25′55″N 07°47′44″Ø
[64] ;Nørdre Trollsteinhøe ;2201;347;1618 III «Glittertinden» ;477900 6841000 ;61°42′05″N 08°34′56″Ø
[65] ;Søre Blåbreahøe ;2196;63;1618 III «Glittertinden» ;476400 6823450 ;61°32′38″N 08°33′22″Ø
[66] ;Nautgardstinden, Ø ;2194;45;1618 III «Glittertinden» ;487850 6830850 ;61°36′39″N 08°46′15″Ø
[67] ;Kvitskardtinden ;2193;300;1617 IV «Gjende» ;476200 6807050 ;61°23′48″N 08°33′16″Ø
[68] ;Slettmarkhøe ;2190;440;1617 IV «Gjende» ;472300 6807500 ;61°24′02″N 08°28′53″Ø
[69] ;Sokse ;2189;160;1518 II «Galdhøpiggen» ;453950 6825650 ;61°33′42″N 08°08′00″Ø
[70] ;Hellstugutinden, S-2 ;2189;140;1518 II «Galdhøpiggen» ;469250 6821750 ;61°31′41″N 08°25′19″Ø
[71] ;Veobrehesten ;2185;50;1618 III «Glittertinden» ;472000 6828900 ;61°35′33″N 08°28′21″Ø
[72] ;Knutsholstinden, N ;2185;55;1617 IV «Gjende» ;476300 6811250 ;61°26′04″N 08°33′21″Ø
[73] ;Veobreatinden ;2183;100;1618 III «Glittertinden» ;472950 6827500 ;61°34′48″N 08°29′26″Ø
[74] ;Svellnosbreahesten ;2181;30;1518 II «Galdhøpiggen» ;463200 6832150 ;61°37′15″N 08°18′22″Ø
[75] ;Rondslottet ;2178;1220;1718 I «Rondane» ;544700 6865000 ;61°54′54″N 09°51′04″Ø
[76] ;Stornubben ;2174;170;1618 III «Glittertinden» ;489150 6832700 ;61°37′39″N 08°47′43″Ø
[77] ;Hestbrepiggen, N-2 ;2172;870;1518 IV «Pollfoss» ;451750 6846700 ;61°45′01″N 08°05′10″Ø
[78] ;Trollsteinrundhøe ;2170;140;1618 III «Glittertinden» ;476550 6838050 ;61°40′30″N 08°33′25″Ø
[79] ;Loftet ;2170;340;1518 II «Galdhøpiggen» ;453650 6832500 ;61°37′23″N 08°07′33″Ø
[80] ;Knutsholstinden, M ;2170;40;1617 IV «Gjende» ;476200 6810750 ;61°25′48″N 08°33′14″Ø
[81] ;Rauddalseggje, Store ;2168;650;1517 I «Tyin» ;463250 6815050 ;61°28′03″N 08°18′37″Ø
[82] ;Nørdre Styggehøbreatinden ;2168;60;1618 III «Glittertinden» ;475850 6827150 ;61°34′37″N 08°32′43″Ø
[83] ;Skagastølstinden, N ;2167;60;1517 IV «Hurrungane» ;439550 6816000 ;61°28′23″N 07°51′55″Ø
[84] ;Bukkeholstindan, V-4 ;2166;50;1518 II «Galdhøpiggen» ;461250 6829450 ;61°35′48″N 08°16′11″Ø
[85] ;Bukkeholstindan, V-2 ;2166;30;1518 II «Galdhøpiggen» ;461650 6829000 ;61°35′33″N 08°16′39″Ø
[86] ;Bukkeholstindan, V-1 ;2166;30;1518 II «Galdhøpiggen» ;462100 6828800 ;61°35′27″N 08°17′09″Ø
[87] ;Nørdre Blåbreahøe ;2165;58;1618 III «Glittertinden» ;476350 6824800 ;61°33′22″N 08°33′18″Ø
[88] ;Slettmarkpiggen ;2163;150;1517 I «Tyin» ;471500 6807200 ;61°23′52″N 08°27′59″Ø
[89] ;Tverrbottinden, Store ;2161;282;1518 II «Galdhøpiggen» ;460450 6827150 ;61°34′33″N 08°15′19″Ø
[90] ;Trollsteinhøe, S ;2161;30;1618 III «Glittertinden» ;477750 6840000 ;61°41′33″N 08°34′46″Ø
[91] ;Bukkeholstindan, V-3 ;2161;35;1518 II «Galdhøpiggen» ;461600 6829250 ;61°35′41″N 08°16′35″Ø
[92] ;Maradalstinden, N-2 ;2160;30;1517 IV «Hurrungane» ;440700 6814450 ;61°27′33″N 07°53′15″Ø
[93] ;Hestbrepiggen, M-1 ;2160;190;1518 III «Sygnefjell» ;451500 6845600 ;61°44′25″N 08°04′55″Ø
[94] ;Skarddalseggje ;2159;570;1517 I «Tyin» ;464800 6817000 ;61°29′06″N 08°20′21″Ø
[95] ;Rauddalstinden, Store ;2157;590;1517 I «Tyin» ;456700 6818150 ;61°29′41″N 08°11′12″Ø
[96] ;Uranostinden ;2157;692;1517 I «Tyin» ;454650 6810600 ;61°25′36″N 08°09′00″Ø
[97] ;Veslfjelltinden ;2157;189;1518 II «Galdhøpiggen» ;453000 6831050 ;61°36′36″N 08°06′50″Ø
[98] ;Skarvflytinden, M ;2154;60;1617 IV «Gjende» ;478650 6811500 ;61°26′12″N 08°35′59″Ø
[99] ;Gråhøe ;2154;60;1618 III «Glittertinden» ;476800 6839750 ;61°41′25″N 08°33′41″Ø
[100] ;Bukkeholstindan, M-1 ;2154;30;1518 II «Galdhøpiggen» ;462850 6827850 ;61°34′56″N 08°18′01″Ø
[101] ;Tverrbottinden, M-1 ;2151;88;1518 II «Galdhøpiggen» ;461200 6826600 ;61°34′15″N 08°16′10″Ø
[102] ;Veslebjørn, S ;2150;80;1518 II «Galdhøpiggen» ;453650 6824950 ;61°33′19″N 08°07′40″Ø
[103] ;Bukkeholstindan, N ;2149;100;1518 II «Galdhøpiggen» ;462900 6829050 ;61°35′35″N 08°18′04″Ø
[104] ;Semelholstinden ;2147;140;1518 II «Galdhøpiggen» ;465800 6822550 ;61°32′06″N 08°21′25″Ø
[105] ;Dyrhaugstinden, Store ;2147;420;1517 IV «Hurrungane» ;437650 6814550 ;61°27′35″N 07°49′49″Ø
[106] ;Tjørnholsoksle ;2145;130;1617 IV «Gjende» ;480650 6811050 ;61°25′58″N 08°38′14″Ø
[107] ;Hestbrepiggen, M-2 ;2143;50;1518 III «Sygnefjell» ;449900 6845650 ;61°44′26″N 08°03′05″Ø
[108] ;Ryggehøi ;2142;300;1618 III «Glittertinden» ;476700 6831800 ;61°37′08″N 08°33′38″Ø
[109] ;Snøholtinden ;2141;676;1517 I «Tyin» ;463200 6812150 ;61°26′29″N 08°18′36″Ø
[110] ;Vestre Memurutindan, V-5 ;2140;80;1618 III «Glittertinden» ;472800 6822950 ;61°32′21″N 08°29′18″Ø
[111] ;Hestbrepiggen, V-2 ;2139;50;1518 III «Sygnefjell» ;447750 6844750 ;61°43′56″N 08°00′40″Ø
[112] ;Storronden ;2138;390;1718 I «Rondane» ;545300 6862400 ;61°53′30″N 09°51′43″Ø
